ok_resources,num_resources,id,name,maintainer
1,1,c3d7f920-492f-45f2-a0e4-1d8c2295ac0e,01-bve-adressen-instellingen--ministerie-van-ocw,"http://standaarden.overheid.nl/owms/terms/Ministerie_van_Onderwijs,_Cultuur_en_Wetenschap"
1,1,5e4720d4-0d18-47c7-8e6f-4b774a95280c,01-bve-crebo--beroepsopleidingen-ministerie-van-ocw-2010-2011-ministerie-van-ocw,"http://standaarden.overheid.nl/owms/terms/Ministerie_van_Onderwijs,_Cultuur_en_Wetenschap"
1,1,daf4ea6e-1aa4-4468-b1b1-3cb737ab96ba,01-ho-adressen-hbo-instellingen-en-universiteiten--ministerie-van-ocw,"http://standaarden.overheid.nl/owms/terms/Ministerie_van_Onderwijs,_Cultuur_en_Wetenschap"
2,2,9ac42bcd-6a55-4220-9b1d-82c9948eb954,01-po-hoofdvestigingen-basisonderwijs-ministerie-van-ocw,http://standaarden.overheid.nl/owms/terms/Dienst_Uitvoering_Onderwijs
2,2,e87dee72-3465-4a27-bf40-14d07b3f6f23,01-po-leerlingen-basisonderwijs-naar-gewicht-ministerie-van-ocw,http://standaarden.overheid.nl/owms/terms/Dienst_Uitvoering_Onderwijs
1,1,2f92a335-1eb7-4e06-9482-01e7bbd688d2,01-po-onderwijspersoneel-in-aantal-personen-ministerie-van-ocw,http://standaarden.overheid.nl/owms/terms/Dienst_Uitvoering_Onderwijs
1,1,8191f8d5-c870-499d-92ec-ef81fd35dd91,01-vo-adressen-hoofdvestigingen--ministerie-van-ocw,"http://standaarden.overheid.nl/owms/terms/Ministerie_van_Onderwijs,_Cultuur_en_Wetenschap"
1,1,ae96455b-491d-482e-9d81-814e826e4b0e,01-vo-leerlingen-per-vestiging-naar-onderwijstype-lwoo-indicatie-sector-afdeling-opleiding--min,"http://standaarden.overheid.nl/owms/terms/Ministerie_van_Onderwijs,_Cultuur_en_Wetenschap"
1,1,cbede749-d815-4573-9118-c789a4239867,01-vo-onderwijspersoneel-in-aantal-personen--ministerie-van-ocw,"http://standaarden.overheid.nl/owms/terms/Ministerie_van_Onderwijs,_Cultuur_en_Wetenschap"
1,1,8735242a-9ac1-4539-a1d1-4119a605ef40,02-bve-adressen-bevoegde-gezagen--ministerie-van-ocw,"http://standaarden.overheid.nl/owms/terms/Ministerie_van_Onderwijs,_Cultuur_en_Wetenschap"
